CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HOOD,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
311931423,1/14/2016,23:30:00,1/14/2016,23:45:00,1/15/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1021623,240919,40.82787167,-73.86495842,"(40.827871665, -73.864958422)"
551726376,1/12/2016,12:00:00,1/12/2016,17:00:00,1/13/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,MOTT HAVEN,1005426,235225,40.81229693,-73.92350234,"(40.812296927, -73.923502342)"
822278041,1/12/2016,16:50:00,1/12/2016,16:55:00,1/12/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1020068,240643,40.82712057,-73.8705787,"(40.827120568, -73.870578701)"
829035581,1/10/2016,23:50:00,1/11/2016,0:05:00,1/11/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026268,237961,40.81973193,-73.8481928,"(40.81973193, -73.848192804)"
110168876,1/8/2016,1:20:00,1/8/2016,1:37:00,1/8/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,,THROGGS NECK,1032930,239207,40.82311764,-73.8241144,"(40.823117641, -73.824114397)"
373280320,1/6/2016,13:30:00,1/6/2016,14:25:00,1/6/2016,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1025708,238315,40.82070621,-73.85021386,"(40.820706205, -73.850213861)"
305138947,1/5/2016,12:30:00,1/5/2016,12:40:00,1/5/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,,CASTLE HILL,1026268,237961,40.81973193,-73.8481928,"(40.81973193, -73.848192804)"
791424863,1/2/2016,3:15:00,1/2/2016,3:25:00,1/2/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,,BRONXDALE,1020811,240473,40.82665092,-73.86789492,"(40.826650923, -73.867894916)"
669962797,1/1/2016,0:15:00,1/1/2016,0:19:00,1/2/2016,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,,THROGGS NECK,1032218,239444,40.82377203,-73.82668524,"(40.823772033, -73.826685244)"
837910347,12/30/2015,22:00:00,12/30/2015,22:30:00,1/1/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,MORRISANIA ,1007424,239937,40.82522502,-73.91626822,"(40.825225023, -73.916268224)"
