,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4902,23, ,A5, 1147 EAST 223 STREET                      ,NYC,10466,40.8823915,-73.8483935,"1,800","1,534",1950,1, A5 ,"$347,500 ",4/28/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4902,31, ,A2, 1141 E 223RD STREET                       ,NYC,10466,40.8825652,-73.8489162,"8,275",937,1910,1, A2 ,"$220,000 ",12/21/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4902,31, ,A2, 1141 EAST 223 STREET                      ,NYC,10466,40.8825652,-73.8489162,"8,275",937,1910,1, A2 ,"$425,880 ",8/6/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4902,120, ,A5, 1153A EAST 223 STREET                     ,NYC,10466,40.8822602,-73.8482037,"1,850","1,534",1945,1, A5 ,"$212,000 ",2/26/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4934,19, ,A5, 1159 GRENADA PLACE                        ,NYC,10466,40.888349,-73.844078,"1,980","1,582",1940,1, A5 ,"$389,000 ",11/30/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4934,26, ,A5, 1145 GRENADA PLACE                        ,NYC,10466,40.888276,-73.84451,"1,782","1,188",1940,1, A5 ,"$280,000 ",3/3/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4943,55, ,A1, 3693 SECOR AVENUE                         ,NYC,10466,40.886469,-73.832764,"2,856","1,248",1925,1, A1 ,"$369,500 ",10/20/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4945,97, ,A2, 2115 GARRETT PLACE                        ,NYC,10466,40.8888559,-73.83382,"4,280","1,411",1930,1, A2 ,"$368,000 ",2/23/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4945,97, ,A2, 2115 GARRETT PLACE                        ,NYC,10466,40.8888559,-73.83382,"4,280","1,411",1930,1, A2 ,"$368,000 ",1/29/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4945,99, ,A1, 2111 GARRETT PLACE                        ,NYC,10466,40.888846,-73.833954,"3,375","1,200",1930,1, A1 ,"$420,000 ",5/22/2015,
